NOMBRE	SMILES	M_roreri	L_theobromae	Phytophthora_sp	MASA_MOLAR	Valor_D_M_roreri	Valor_D_L_theobromae	Valor_D_Phytophthora_sp	IC_50_M_roreri	IC_50_L_theobromae	IC_50_Phytophthora_sp	pIC_50_M_roreri	pIC_50_L_theobromae	pIC_50_Phytophthora_sp
D1	C1C=C(O)C(O)=CC=1C(C)(CC)CCCC(C)CCCC(C)C	20.4	30.9	27.5	320.517	1.91456816883291	2.15633150119531	2.08484575640395	NA	NA	NA	NA	NA	NA
D2	C1C=C(OC(=O)C)C(OC(=O)C)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	27.8	51.5	3.6	398.543	2.18598278394319	2.62654067603368	1.17270065245921	NA	NA	NA	NA	NA	NA
D3	C1C=C(OC)C(OC)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	42.8	52.5	4.1	342.523	2.40873747937037	2.57815543293131	1.1656549886993	NA	NA	NA	NA	NA	NA
D4	C1C=C(OCCCCC)C(OCCCCC)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	27.7	54.9	42.1	454.739	2.24110367417926	2.74315800498147	2.51936573451757	NA	NA	NA	NA	NA	NA
D5	C1C=C(O)C(OCCCCC)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	31.9	39.3	51	384.604	2.25565736786665	2.39621765602243	2.60238789279168	NA	NA	NA	NA	NA	NA
D6	C1C=C(O)C(OC/C=C(\C)/C)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	38.8	50.7	54.5	382.588	2.38481164756252	2.59489238416998	2.66111644973341	NA	NA	NA	NA	NA	NA
D7	C1C=C(OC/C=C(\C)/C)C(O)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	39.9	38.6	31.3	382.588	2.40482976779789	2.38115027764447	2.24131894460078	NA	NA	NA	NA	NA	NA
D8	C1C=C2OCOC2=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	31.1	44	33.1	326.48	2.16839774888443	2.4091212312452	2.20825845777311	NA	NA	NA	NA	NA	NA
D9	C1C=C(OCC=C)C(OCC=C)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	28.6	45.7	14.7	394.599	2.19882380167342	2.52127235080155	1.8325242839012	NA	NA	NA	NA	NA	NA
D10	C1C=C(OC(=O)C2C=CC=CC=2)C(OC(=O)C2C=CC=CC=2)=CC=1C(C)(C=C)CC/C=C(\C)/CC/C=C(\C)/C	37.5	50.8	31.3	522.685	2.49639128728893	2.73213864642184	2.37682763739218	NA	NA	NA	NA	NA	NA
A-1	C1C=CC=C(C(=O)OCCCC)C=1	28.8	9.9	93.5	178.231	1.85789573791997	1.29189364741609	3.40888149802726	NA	NA	296.7	NA	NA	3.52768245368316
A-2	C1C=CC=C(C(=O)OC/C=C(\C)/C)C=1	26.7	14.2	94.4	190.242	1.84071368972766	1.49810745953856	3.50609037029608	NA	NA	413.5	NA	NA	3.38352448611143
A-3	C1C=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	29.4	4.2	4.4	258.361	2.03176958619462	1.05411073815363	1.07522174104436	NA	NA	NA	NA	NA	NA
A-4	C1C=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	19.3	3	8.4	326.48	1.89254035605092	1.00420610221863	1.47624039415925	NA	NA	NA	NA	NA	NA
A-5	C1=C(C(=CC=C1)C(=O)OCCCC)O	36.6	77.6	84.9	194.23	2.04970813767897	2.82793001309032	3.03824705311708	NA	518.6	347.7	NA	3.28516748756667	3.45879530931674
A-6	C1=C(C(=CC=C1)C(=O)OCC=C(C)C)O	23.3	20	46.6	206.241	1.79693556285357	1.71231501444857	2.25521966543798	NA	NA	NA	NA	NA	NA
A-7	C1=CC(=C(C=C1)O)C(=O)OCC=C(CCC=C(C)C)C	29.3	76.8	70.3	274.36	2.05576900074366	2.95819402932706	2.81251966988906	NA	331.7	348.1	NA	3.47925452848052	3.45829597671571
A-8	C1=CC(=C(C=C1)O)C(=O)OCC=C(CCC=C(CCC=C(C)C)C)C	26.5	40.3	81.8	342.479	2.09159248158988	2.36396466174901	3.18731586242352	NA	NA	190.5	NA	NA	3.72010501998836
A-9	C1C=C(O)C=C(C(=O)OCCCC)C=1	97.4	100	94.2	194.23	3.86190191907409	4.28395150476384	3.49893921939623	302.7	270.5	397	3.51898757904343	3.56783273055741	3.40120949323689
A-10	C1C(O)=CC=C(C(=O)OCCCC)C=1	97.3	100	89.5	194.23	3.84506538627566	4.28395150476384	3.21895004641227	206.8	243.6	454.2	3.68444946557809	3.61332271603916	3.34275287011628
A-11	C1C(O)=CC=C(C(=O)OC/C=C(\C)/C)C=1	97	100	100	206.241	3.82402548532312	4.31001020037409	4.31001020037409	157.3	299.7	198	3.80327127737671	3.52331325705436	3.70333480973847
A-12	C1C(O)=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	23.2	84.8	86.9	274.36	1.91844755904584	3.18487305849839	3.26006927497935	NA	136.1	205	NA	3.86614187479666	3.68824613894425
A-13	C1C(O)=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	16.9	40	100	342.479	1.84291962756683	2.35854268768159	4.53026914133482	NA	NA	40.1	NA	NA	4.39685562737982
A-14	C1C=C(O)C(O)=C(C(=O)OCCCC)C=1	100	95.7	92.7	210.229	4.3183278190931	3.67013610669281	3.42644949851959	117	208.4	402.6	3.93181413825384	3.68110228537251	3.39512622944736
A-15	C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	35.6	82.1	95.1	222.24	2.0893863590066	3.00831235453309	3.63480666530244	NA	383.1	364.3	NA	3.41668784801692	3.43854082875808
A-16	C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	29.3	76.8	70.3	290.359	2.08038349857546	2.98280852715886	2.83713416772086	NA	196.5	334.6	NA	3.70663744528855	3.47547406337362
A-17	C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	31.9	60.7	82.5	358.478	2.22510607906515	2.74325864862059	3.22787840778439	NA	365.6	233.9	NA	3.43699381293821	3.63096977819085
A-18	C1C=CC(O)=C(C(=O)OCCCC)C=1O	36.9	83.9	94.7	210.229	2.08968963141048	3.0396287092924	3.57476673389804	NA	506.7	383.4	NA	3.29524909570933	3.41634789145796
A-19	C1C(O)=C(O)C=C(C(=O)OCCCC)C=1	96.4	91.8	100	210.229	3.7504671576311	3.37172145331308	4.3183278190931	296.7	240.4	248.2	3.52768245368316	3.6190655366693	3.60519822283729
A-20	C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/C)C=1	11.8	40	94.8	222.24	1.47323565056785	2.17073096933786	3.60762722209681	NA	NA	227.7	NA	NA	3.64263696938486
A-21	C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	10.2	100	89.1	290.359	1.51825912711286	4.4585704866158	3.3753864981145	NA	177.8	232.6	NA	3.75006824336581	3.63339028960757
A-22	C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	33.6	7.5	35.4	358.478	2.25863370594258	1.46338203857342	2.29323325195146	NA	NA	NA	NA	NA	NA
A-23	C1C(O)=CC(O)=C(C(=O)OCCCC)C=1	100	100	79.5	210.229	4.3183278190931	4.3183278190931	2.91130589209627	129	202	325.7	3.88941028970075	3.69464863055338	3.48718224143513
A-24	C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	100	96.9	84.3	222.24	4.34245742299109	3.84178431161003	3.07675015060905	213.5	459.9	304.4	3.67060212063896	3.33733659042596	3.51655535190146
A-25	C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	39.3	22.3	92.7	290.359	2.27413915131842	1.9208191362655	3.56669216604229	NA	NA	147.2	NA	NA	3.83209218999852
A-26	C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	27.2	33.8	1.7	358.478	2.12690003264192	2.26252121875871	0.792357911466895	NA	NA	NA	NA	NA	NA
A-27	C1(O)C=CC(O)=C(C(=O)OCCCC)C=1	75.3	100	85.5	210.229	2.80679064743659	4.3183278190931	3.09329073698875	511.4	260.6	457.6	3.29123927630968	3.58402558862343	3.33951398421503
A-28	C1(O)C=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	14	83.7	30	222.24	1.55845181282821	3.05736008198284	1.97884544309895	NA	196.7	NA	NA	3.70619564008066	NA
A-29	C1(O)C=CC(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	28.7	48	15.6	290.359	2.06772765890038	2.42817318575904	1.72971744374706	NA	NA	NA	NA	NA	NA
A-30	C1(O)C=CC(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	17.3	8	37.4	358.478	1.87500310149701	1.49376466756715	2.33075977691081	NA	NA	NA	NA	NA	NA
A-31	C1C(O)=C(O)C(O)=C(C(=O)OCCCC)C=1	70.4	97.2	72.3	226.228	2.73082730416745	3.89505458966833	2.77120488431435	450.9	369	325.8	3.34591976469343	3.43297363384094	3.48704892002751
A-32	C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	11	100	100	238.239	1.4690155359891	4.37264805207334	4.37264805207334	NA	163.6	170.3	NA	3.7862167006647	3.7687853520374
A-33	C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	20.3	44	30.8	306.358	1.89226694216921	2.3814938751321	2.1346738476958	NA	NA	NA	NA	NA	NA
A-34	C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	23.1	67.3	100	374.477	2.05111078901584	2.88689246048882	4.56906034352268	NA	264.7	120.5	NA	3.57724605869865	3.91901295308911
A-35	C12OCOC1=CC=C(C(=O)OCCCC)C=2	83	88.5	91.1	222.24	3.03545139939134	3.23306765873775	3.35695059872163	266.5	236.2	267.9	3.57430278663741	3.6267201067225	3.57202728639179
A-36	C12OCOC1=CC=C(C(=O)OC/C=C(\C)/C)C=2	28.1	67.8	94.3	234.251	1.96165888305663	2.69305527570567	3.58831829059927	NA	543.6	228	NA	3.26472055193954	3.64206515299955
A-37	C12OCOC1=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=2	7.5	27.8	100	302.37	1.38945823057452	2.06604629827029	4.47617389451941	NA	NA	143.7	NA	NA	3.84254323186577
A-38	C1C=C(OC)C=C(C(=O)OCCCC)C=1	31.4	4.4	27.4	208.257	1.97920514033379	0.981594392177417	1.89541355008762	NA	NA	NA	NA	NA	NA
A-39	C1C(OC)=CC=C(C(=O)OCCCC)C=1	32.6	45.6	96.4	208.257	2.00315731149995	2.24196555093358	3.74637414110287	NA	NA	185.9	NA	NA	3.7307206102281
A-40	C1C(O)=C(OC)C=C(C(=O)OCCCC)C=1	100	91.3	81.3	224.256	4.34637926607748	3.37169559639561	2.9889930105375	120.8	367.7	292.3	3.91793306571489	3.43450637013114	3.53417118464256
A-41	C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/C)C=1	37.6	85.1	97	236.267	2.15340632212209	3.13014635854916	3.88305354642343	NA	448.7	295.2	NA	3.34804393046693	3.529883646849
A-42	C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	10.4	34.9	78.2	236.267	1.4381283965135	2.10264750526784	2.92815332633209	NA	NA	276.2	NA	NA	3.55877632575739
A-43	C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	14.9	100	95.5	304.386	1.72668138184485	4.47905986811471	3.81021553132557	NA	149	117.4	NA	3.82681373158773	3.9303319030884
A-44	CCCCOC(=O)c1ccc(OC)c(O)c1	100	100	90.2	372.505	4.56676730109887	4.56676730109887	3.53511256835077	130.4	220.3	323.6	3.8847224086041	3.65698550284923	3.48999148705977
